agencia,cedulasociado,Nombres,Saldo Total,NroBoletas,BoletasAsignadas
1,1234,Persona1,45000,5,"[138, 394, 45, 209, 27]"
1,4567,Persona2,100000,11,"[288, 195, 70, 137, 171, 173, 175, 82, 275, 20, 56]"
2,789,Persona3,60000,6,"[224, 1, 360, 397, 84, 126]"
3,963,Persona4,85000,9,"[162, 194, 36, 4, 230, 306, 23, 53, 375]"
3,369,Persona5,32000,3,"[48, 73, 342]"
3,852,Persona6,120000,13,"[65, 294, 136, 11, 268, 176, 241, 19, 245, 150, 157, 248, 221]"
4,489,Persona7,250000,27,"[387, 262, 7, 263, 135, 267, 270, 17, 276, 290, 43, 312, 192, 327, 328, 331, 204, 337, 343, 215, 93, 351, 223, 106, 372, 249, 250]"
4,248,Persona8,320000,35,"[257, 385, 6, 392, 9, 399, 273, 148, 279, 284, 31, 38, 172, 301, 46, 181, 187, 322, 323, 69, 199, 201, 79, 208, 88, 91, 97, 228, 234, 237, 369, 371, 118, 120, 254]"
4,315,Persona9,72000,8,"[33, 99, 132, 325, 140, 182, 216, 317]"
5,1297,Persona10,580000,64,"[259, 260, 5, 389, 264, 265, 266, 396, 13, 398, 15, 274, 280, 156, 285, 30, 32, 163, 292, 165, 166, 167, 41, 42, 44, 302, 179, 308, 54, 189, 62, 191, 326, 198, 200, 71, 74, 75, 207, 336, 213, 86, 348, 220, 222, 253, 356, 101, 100, 231, 103, 233, 105, 363, 365, 368, 242, 116, 125, 119, 121, 379, 380, 381]"
5,3110,Persona11,90000,10,"[354, 185, 357, 296, 203, 300, 366, 115, 313, 63]"
5,589,Persona12,78000,8,"[193, 386, 196, 395, 236, 111, 184, 186]"
5,2812,Persona13,25000,2,"[90, 287]"
